,prov,provid,amp,ampid
0,กาญจนบุรี,กจ,ด่านมะขามเตี้ย,14
1,กาญจนบุรี,กจ,ทองผาภูมิ,2
2,กาญจนบุรี,กจ,ท่าม่วง,3
3,กาญจนบุรี,กจ,ท่ามะกา,4
4,กาญจนบุรี,กจ,ไทรโยค,5
5,กาญจนบุรี,กจ,บ่อพลอย,6
6,กาญจนบุรี,กจ,พนมทวน,7
7,กาญจนบุรี,กจ,มะขามเตี้ย,11
8,กาญจนบุรี,กจ,เมืองกาญจนบุรี,1
9,กาญจนบุรี,กจ,เลาขวัญ,8
10,กาญจนบุรี,กจ,ศรีสวัสดิ์,9
11,กาญจนบุรี,กจ,สังขละบุรี,10
12,กาญจนบุรี,กจ,หนองปรือ,12
13,กาญจนบุรี,กจ,ห้วยกระเจา,13
14,กรุงเทพมหานคร,กท,คลองเตย,25
15,กรุงเทพมหานคร,กท,คลองสาน,2
16,กรุงเทพมหานคร,กท,คลองสามวา,42
17,กรุงเทพมหานคร,กท,คันนายาว,41
18,กรุงเทพมหานคร,กท,จตุจักร,26
19,กรุงเทพมหานคร,กท,จอมทอง,27
20,กรุงเทพมหานคร,กท,ดอนเมือง,28
21,กรุงเทพมหานคร,กท,ดินแดง,37
22,กรุงเทพมหานคร,กท,ดุสิต,1
23,กรุงเทพมหานคร,กท,ตลิ่งชัน,12
24,กรุงเทพมหานคร,กท,ทวีวัฒนา,40
25,กรุงเทพมหานคร,กท,ทุ่งครุ,48
26,กรุงเทพมหานคร,กท,ธนบุรี,3
27,กรุงเทพมหานคร,กท,บางกอกน้อย,13
28,กรุงเทพมหานคร,กท,บางกอกใหญ่,4
29,กรุงเทพมหานคร,กท,บางกะปิ,14
30,กรุงเทพมหานคร,กท,บางขุนเทียน,15
31,กรุงเทพมหานคร,กท,บางเขน,16
32,กรุงเทพมหานคร,กท,บางคอแหลม,29
33,กรุงเทพมหานคร,กท,บางแค,39
34,กรุงเทพมหานคร,กท,บางซื่อ,30
35,กรุงเทพมหานคร,กท,บางนา,45
36,กรุงเทพมหานคร,กท,บางบอน,49
37,กรุงเทพมหานคร,กท,บางพลัด,31
38,กรุงเทพมหานคร,กท,บางรัก,5
39,กรุงเทพมหานคร,กท,บึงกุ่ม,32
40,กรุงเทพมหานคร,กท,ปทุมวัน,6
41,กรุงเทพมหานคร,กท,ประเวศ,33
42,กรุงเทพมหานคร,กท,ป้อมปราบศัตรูพ่าย,7
43,กรุงเทพมหานคร,กท,พญาไท,8
44,กรุงเทพมหานคร,กท,พระโขนง,17
45,กรุงเทพมหานคร,กท,พระนคร,9
46,กรุงเทพมหานคร,กท,ภาษีเจริญ,18
47,กรุงเทพมหานคร,กท,มีนบุรี,19
48,กรุงเทพมหานคร,กท,ยานนาวา,10
49,กรุงเทพมหานคร,กท,ราชเทวี,34
50,กรุงเทพมหานคร,กท,ราษฎร์บูรณะ,20
51,กรุงเทพมหานคร,กท,ลาดกระบัง,21
52,กรุงเทพมหานคร,กท,ลาดพร้าว,35
53,กรุงเทพมหานคร,กท,วังทองหลาง,43
54,กรุงเทพมหานคร,กท,วัฒนา,47
55,กรุงเทพมหานคร,กท,สวนหลวง,38
56,กรุงเทพมหานคร,กท,สะพานสูง,50
57,กรุงเทพมหานคร,กท,สัมพันธวงศ์,11
58,กรุงเทพมหานคร,กท,สาทร,36
59,กรุงเทพมหานคร,กท,สายไหม,44
60,กรุงเทพมหานคร,กท,หนองแขม,22
61,กรุงเทพมหานคร,กท,หนองจอก,23
62,กรุงเทพมหานคร,กท,หลักสี่,46
63,กรุงเทพมหานคร,กท,ห้วยขวาง,24
64,กระบี่,กบ,เกาะลันตา,2
65,กระบี่,กบ,เขาพนม,3
66,กระบี่,กบ,คลองท่อม,4
